week_id,start_local,end_local,deadline_local,tz
W01,2026-02-18 00:00,2026-03-01 00:00,2026-03-01 00:00,Europe/Zurich
W02,2026-03-01 00:00,2026-03-08 00:00,2026-03-08 00:00,Europe/Zurich
W03,2026-03-08 00:00,2026-03-15 00:00,2026-03-15 00:00,Europe/Zurich
W04,2026-03-15 00:00,2026-03-22 00:00,2026-03-22 00:00,Europe/Zurich
W05,2026-03-22 00:00,2026-03-29 00:00,2026-03-29 00:00,Europe/Zurich
W06,2026-03-29 00:00,2026-04-05 00:00,2026-04-05 00:00,Europe/Zurich
W07,2026-04-05 00:00,2026-04-12 00:00,2026-04-12 00:00,Europe/Zurich
W08,2026-04-12 00:00,2026-04-19 00:00,2026-04-19 00:00,Europe/Zurich
W09,2026-04-19 00:00,2026-04-26 00:00,2026-04-26 00:00,Europe/Zurich
W10,2026-04-26 00:00,2026-05-03 00:00,2026-05-03 00:00,Europe/Zurich
W11,2026-05-03 00:00,2026-05-10 00:00,2026-05-10 00:00,Europe/Zurich
W12,2026-05-10 00:00,2026-05-17 00:00,2026-05-17 00:00,Europe/Zurich
W13,2026-05-17 00:00,2026-05-24 00:00,2026-05-24 00:00,Europe/Zurich
W14,2026-05-24 00:00,2026-05-31 00:00,2026-05-31 00:00,Europe/Zurich
W15,2026-05-31 00:00,2026-06-07 00:00,2026-06-07 00:00,Europe/Zurich
W16,2026-06-07 00:00,2026-06-14 00:00,2026-06-14 00:00,Europe/Zurich

